parcel_id,zone_code
"29 3711-75-40-1","RR-65"
"29 3711-00-575","RR-65"
"29 3712-00-513","RR-65"
"29 3712-00-784","RR-65"
"29 3712-00-789","RR-65"
"29 3712-00-795","RR-65"
"29 3712-00-799","RR-65"
"29 3712-00-533","RR-65"
"29 3710-00-773","RR-65"
"29 3712-00-523","RR-65"
"29 3710-00-788","RR-65"
"29 3710-00-780","RR-65"
"29 3711-00-554","RR-65"
"29 3711-00-509","RR-65"
"29 3808-00-509","RR-65"
"29 3711-00-560","RR-65"
"29 3710-00-536","RR-65"
"29 3711-00-542","RR-65"
"29 3710-00-539","RR-65"
"29 3808-00-511","RR-65"
"29 3808-00-515","RR-65"
"29 3710-00-511","RR-65"
"29 3710-00-532","R/LC"
"29 3712-00-547","RR-65"
"29 3712-00-762","RR-65"
"29 3711-00-504.2","RR-65"
"29 3712-00-794","RR-65"
"29 3712-00-808","RR-65"
"29 3712-00-777","RR-65"
"29 3712-00-788","RR-65"
"29 3712-00-519","RR-65"
"29 3710-00-764","RR-65"
"29 3710-00-781","RR-65"
"29 3712-00-525","RR-65"
"29 3710-00-776","RR-65"
"29 3710-00-760","RR-65"
"29 3711-00-541","RR-65"
"29 3711-00-530","RR-65"
"29 3710-00-506","RR-65"
"29 3711-00-561","RR-65"
"29 3710-00-543","RR-65"
"29 3711-00-571","RR-65"
"29 3710-00-527","RR-65"
"29 3710-00-512","R/LC"
"29 3711-00-504.1","RR-65"
"29 3712-00-758","RR-65"
"29 3712-00-793","RR-65"
"29 3712-00-810","RR-65"
"29 3712-00-800","RR-65"
"29 3712-00-792","RR-65"
"29 3712-00-521","RR-65"
"29 3712-50-*-1","RR-65"
"29 3710-00-771","RR-65"
"29 3710-00-766","RR-65"
"29 3712-00-526","RR-65"
"29 3710-00-782","RR-65"
"29 3711-00-528","RR-65"
"29 3711-00-519","RR-65"
"29 3710-00-541","RR-65"
"29 3711-00-521","RR-65"
"29 3710-00-559","RR-65"
"29 3711-00-550","RR-65"
"29 3710-00-529","RR-65"
"29 3711-00-504.3","RR-65"
"29 3710-00-534","R/LC"
"29 3712-00-527","RR-65"
"29 3712-00-760","RR-65"
"29 3712-00-806","RR-65"
"29 3808-00-503","RR-65"
"29 3710-00-763","RR-65"
"29 3808-00-508","RR-65"
"29 3808-00-513","RR-65"
"29 3710-00-783","RR-65"
"29 3807-00-752","RR-65"
"29 3710-00-762","RR-65"
"29 3807-00-760","RR-65"
"29 3710-00-779","RR-65"
"29 3807-00-759","RR-65"
"29 3711-00-564","RR-65"
"29 3711-00-514","RR-65"
"29 3711-00-522","RR-65"
"29 3711-00-568","RR-65"
"29 3712-00-781","RR-65"
"29 3711-00-569","RR-65"
"29 3710-00-555","RR-65"
"29 3712-00-809","RR-65"
"29 3710-00-520","RR-65"
"29 3710-00-567","RR-65"
"29 3712-00-772","RR-65"
"29 3710-00-533","R/LC"
"29 3712-00-508","RR-65"
"29 3712-00-517","RR-65"
"29 3712-50-*-2","RR-65"
"29 3712-00-546","RR-65"
"29 3711-75-8-1","RR-65"
"29 3711-75-1-1","RR-65"
"29 3712-00-511","RR-65"
"29 3711-75-2-1","RR-65"
"29 3710-00-786","RR-65"
"29 3710-00-767","RR-65"
"29 3712-00-783","RR-65"
"29 3712-00-798","RR-65"
"29 3710-00-755","RR-65"
"29 3711-00-504","RR-65"
"29 3710-00-507","RR-65"
"29 3710-00-515","RR-65"
"29 3710-00-552","RR-65"
"29 3710-00-551","RR-65"
"29 3710-00-518","OI"
"29 3711-00-758","RR-65"
"29 3711-00-555","RR-65"
"29 3711-00-536","RR-65"
"29 3711-00-534","RR-65"
"29 3703-00-757","RR-65"
"29 3711-00-533","RR-65"
"29 3712-00-785","RR-65"
"29 3712-00-791","RR-65"
"29 3712-00-534","RR-65"
"29 3711-00-551","RR-65"
"29 3711-00-553","RR-65"
"29 3710-00-789","RR-65"
"29 3710-00-523","RR-65"
"29 3712-00-515","RR-65"
"29 3711-00-757","RR-65"
"29 3712-00-516","RR-65"
"29 3710-00-519","RR-65"
"29 3710-00-537","OI"
"29 3711-00-523","RR-65"
"29 3711-00-507","RR-65"
"29 3711-00-527","RR-65"
"29 3711-00-516","RR-65"
"29 3710-00-18","RR-65"
"29 3807-00-762","RR-65"
"29 3711-00-503.2","RR-65"
"29 3710-00-521","CL"
"29 3710-00-546","CL"
"29 3710-00-525","CL"
"29 3710-00-530","CL"
"29 3710-00-524","CL"
"29 3712-00-801","RR-65"
"29 3712-00-805","RR-65"
"29 3711-00-750","RR-65"
"29 3712-00-535","RR-65"
"29 3712-00-510","RR-65"
"29 3710-00-563","RR-65"
"29 3710-00-554","RR-65"
"29 3710-00-540","RR-65"
"29 3710-00-569","CG"
"29 3711-00-549","RR-65"
"29 3711-00-544","RR-65"
"28 3735-25-*-39","RS-10"
"29 3711-00-567","RR-65"
"29 3711-00-558","RR-65"
"29 3710-00-758","RR-65"
"29 3711-00-540","RR-65"
"29 3711-00-537","RR-65"
"29 3712-00-812","RR-65"
"29 3712-00-500","RR-65"
"29 3712-00-518","RR-65"
"29 3711-00-759","RR-65"
"29 3712-00-775","RR-65"
"29 3712-00-797","RR-65"
"29 3710-00-772","RR-65"
"29 3712-00-537","RR-65"
"29 3712-00-536","RR-65"
"29 3710-00-545","RR-65"
"29 3710-00-570","RR-65"
"29 3710-00-538","RR-65"
"29 3711-00-503.1","RR-65"
"29 3710-00-561","CG"
"29 3710-00-516","CL"
"29 3710-00-558","CL"
"29 3710-00-531","CL"
"29 3710-00-526","CL"
"29 3711-00-566","RR-65"
"29 3711-00-517","RR-65"
"29 3711-00-547","RR-65"
"29 3711-00-570","RR-65"
"29 3711-00-510","RR-65"
"29 3711-00-524","RR-65"
"29 3711-00-755","RR-65"
"29 3712-00-802","RR-65"
"29 3712-00-804","RR-65"
"29 3712-00-514","RR-65"
"28 3735-25-*-40","RS-10"
"29 3712-00-30","RR-65"
"29 3703-00-760","RR-65"
"28 3735-25-*-41","RS-10"
"29 3710-00-45","RR-65"
"29 3701-00-790","RR-65"
"28 3735-25-*-42","RS-10"
"29 3712-00-48","RR-65"
"29 3701-00-847","RR-65"
"28 3735-25-*-18","RS-10"
"29 3712-00-80","RR-65"
"29 3701-00-500","RR-65"
"28 3735-25-*-43","RS-10"
"29 3712-00-322","RR-65"
